"序号","文件名（含路径）","行号","行起始位置","行结束位置","关键字","翻译"
"222","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","201","18","24","最不经常使用","Least used."
"223","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","202","18","25","最近最久未使用","Most recently unused."
"224","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","203","23","27","故障转移","failover"
"225","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","204","23","27","忙碌转移","Busy transfer"
"226","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","205","20","24","分片广播","Subdivision radio"
"227","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","206","17","21","空闲检测","Free testing"
"228","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","207","13","17","心跳检测","The heartbeat detection"
"229","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","208","16","24","调度中心监控报警","The dispatch center monitors the alarm."
"230","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","209","23","29","监控告警明细","Monitoring alarm details."
"231","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","210","28","32","告警类型","The alarm types"
"232","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","211","27","31","调度失败","Scheduling failure"
"233","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","212","29","33","调度机器","The scheduling machine"
"234","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","213","28","31","执行器","actuator"
"235","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","213","32","36","注册方式","Registration way"
"236","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","214","31","34","执行器","actuator"
"237","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","214","35","39","地址列表","Address list"
"238","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","215","30","34","调度失败","Scheduling failure"
"239","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","215","35","42","执行器地址为空","The actuator address is empty."
"240","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","216","20","24","触发调度","Trigger scheduling"
"241","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","217","26","31","触发子任务","Trigger subtask"
"242","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","218","27","33","调度失败重试","Scheduling failed retry."
"243","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","219","23","29","执行失败重试","Execute failed retry."
"244","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","220","37","39","任务","task"
"245","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","220","48","50","触发","The trigger"
"246","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","220","55","59","触发备注","Trigger note"
"247","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","221","37","39","任务","task"
"248","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","221","48","52","触发失败","Trigger failure"
"249","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","221","54","58","触发备注","Trigger note"
"250","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","221","60","62","任务","task"
"251","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","221","64","68","格式错误","Invalid format"
"252","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","222","22","24","触发","The trigger"
"253","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","222","29","33","触发备注","Trigger note"
"254","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","225","9","13","使用教程","Using the tutorial"
"255","/Users/liyouzhi/Documents/code/github/liyouzhi/data-process/data-process/data/message.properties","226","18","22","官方文档","The official documentation"
